,0,1,2,3,4,5
95,360.0,360.0,360.0,360.0,360.0,360.0
96,360.0,360.0,360.0,360.0,360.0,360.0
97,360.0,360.0,360.0,360.0,360.0,360.0
98,360.0,360.0,360.0,360.0,360.0,360.0
99,360.0,360.0,360.0,360.0,360.0,360.0
100,360.0,360.0,360.0,360.0,360.0,360.0
101,360.0,360.0,360.0,360.0,360.0,360.0
102,360.0,360.0,360.0,360.0,360.0,360.0
103,360.0,360.0,360.0,360.0,360.0,360.0
104,360.0,360.0,360.0,360.0,360.0,360.0
105,360.0,360.0,360.0,360.0,360.0,360.0
106,360.0,360.0,360.0,360.0,360.0,360.0
107,360.0,360.0,360.0,360.0,360.0,360.0
108,360.0,360.0,360.0,360.0,360.0,360.0
109,360.0,360.0,360.0,360.0,360.0,360.0
110,360.0,360.0,360.0,360.0,360.0,360.0
111,360.0,360.0,360.0,360.0,360.0,360.0
112,360.0,360.0,360.0,360.0,360.0,360.0
113,360.0,360.0,360.0,360.0,360.0,360.0
114,360.0,360.0,360.0,360.0,360.0,360.0
115,360.0,360.0,360.0,360.0,360.0,360.0
116,360.0,360.0,360.0,360.0,360.0,360.0
117,360.0,360.0,360.0,360.0,360.0,360.0
118,360.0,360.0,360.0,360.0,360.0,360.0
119,360.0,360.0,360.0,360.0,360.0,360.0
120,360.0,360.0,360.0,360.0,360.0,360.0
121,360.0,360.0,360.0,360.0,360.0,360.0
122,360.0,360.0,360.0,360.0,360.0,360.0
123,360.0,360.0,360.0,360.0,360.0,360.0
124,360.0,360.0,360.0,360.0,360.0,360.0
125,360.0,360.0,360.0,360.0,360.0,360.0
126,360.0,360.0,360.0,360.0,360.0,360.0
127,360.0,360.0,360.0,360.0,360.0,360.0
128,360.0,360.0,360.0,360.0,360.0,360.0
129,360.0,360.0,360.0,360.0,360.0,360.0
130,360.0,360.0,360.0,360.0,360.0,360.0
131,360.0,360.0,360.0,360.0,360.0,360.0
132,360.0,360.0,360.0,360.0,360.0,360.0
133,360.0,360.0,360.0,360.0,360.0,360.0
134,360.0,360.0,360.0,360.0,360.0,360.0
135,360.0,360.0,360.0,360.0,360.0,360.0
136,360.0,360.0,360.0,360.0,360.0,360.0
137,360.0,360.0,360.0,360.0,360.0,360.0
138,360.0,360.0,360.0,360.0,360.0,360.0
139,360.0,360.0,360.0,360.0,360.0,360.0
140,360.0,360.0,360.0,360.0,360.0,360.0
141,360.0,360.0,360.0,360.0,360.0,360.0
142,360.0,360.0,360.0,360.0,360.0,360.0
143,360.0,360.0,360.0,360.0,360.0,360.0
144,360.0,360.0,360.0,360.0,360.0,360.0
145,360.0,360.0,360.0,360.0,360.0,360.0
146,360.0,360.0,360.0,360.0,360.0,360.0
147,360.0,360.0,360.0,360.0,360.0,360.0
148,360.0,360.0,360.0,360.0,360.0,360.0
149,360.0,360.0,360.0,360.0,360.0,360.0
150,360.0,360.0,360.0,360.0,360.0,360.0
151,360.0,360.0,360.0,360.0,360.0,360.0
152,360.0,360.0,360.0,360.0,360.0,360.0
