,"[0, 0]","[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[1, 0]","[1, 1]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[2, 0]","[2, 1]","[2, 2]","[2, 3]","[2, 4]","[2, 5]","[3, 0]","[3, 1]","[3, 2]","[3, 3]","[3, 4]","[3, 5]","[4, 0]","[4, 1]","[4, 2]","[4, 3]","[4, 4]","[4, 5]","[5, 0]","[5, 1]","[5, 2]","[5, 3]","[5, 4]","[5, 5]"
27,47.0,18.933333333333334,22.6,16.466666666666665,18.466666666666665,12.966666666666667,62.766666666666666,27.95,22.866666666666667,32.06666666666667,26.133333333333333,25.333333333333332,65.6,23.033333333333335,40.45,17.966666666666665,25.333333333333332,30.333333333333332,53.13333333333333,14.233333333333333,31.633333333333333,42.25,35.46666666666667,32.63333333333333,54.63333333333333,12.966666666666667,31.166666666666668,24.133333333333333,40.35,19.233333333333334,57.63333333333333,18.166666666666668,26.666666666666668,32.46666666666667,33.56666666666667,44.05
28,46.9,18.9,28.7,21.066666666666666,9.1,6.6,60.9,26.05,23.5,27.4,33.06666666666667,23.066666666666666,61.2,15.0,37.2,31.866666666666667,26.966666666666665,24.666666666666668,53.233333333333334,11.9,28.533333333333335,41.6,36.233333333333334,24.966666666666665,62.1,15.233333333333333,31.633333333333333,16.566666666666666,37.35,19.1,60.1,26.233333333333334,25.833333333333332,23.133333333333333,26.1,42.8
29,48.05,17.966666666666665,24.333333333333332,20.2,18.566666666666666,4.2,59.63333333333333,25.2,30.033333333333335,30.6,33.53333333333333,22.666666666666668,62.166666666666664,27.366666666666667,36.45,27.833333333333332,31.833333333333332,18.3,56.7,9.6,33.666666666666664,45.6,35.8,32.2,61.733333333333334,13.366666666666667,29.666666666666668,27.8,37.6,31.966666666666665,60.7,25.333333333333332,30.3,22.2,20.133333333333333,38.25
30,45.8,12.5,24.7,22.333333333333332,16.933333333333334,15.133333333333333,54.0,27.35,26.333333333333332,29.033333333333335,28.2,35.1,59.7,26.166666666666668,35.7,24.3,28.3,19.266666666666666,53.166666666666664,16.366666666666667,29.8,42.2,35.166666666666664,31.3,59.266666666666666,13.2,35.3,30.333333333333332,35.65,31.9,55.46666666666667,15.6,25.433333333333334,24.3,27.9,40.15
31,47.65,27.366666666666667,23.533333333333335,18.266666666666666,21.933333333333334,24.533333333333335,57.53333333333333,30.35,34.36666666666667,28.0,28.833333333333332,37.43333333333333,63.36666666666667,26.533333333333335,38.15,26.866666666666667,23.433333333333334,21.766666666666666,55.93333333333333,14.5,28.033333333333335,38.65,39.1,24.066666666666666,56.266666666666666,10.166666666666666,34.266666666666666,23.1,36.45,29.066666666666666,47.86666666666667,15.266666666666667,27.933333333333334,26.733333333333334,28.233333333333334,41.3
32,49.95,12.7,29.133333333333333,22.3,25.266666666666666,22.633333333333333,61.7,30.1,29.9,31.833333333333332,28.833333333333332,22.633333333333333,60.46666666666667,21.4,37.2,30.966666666666665,23.8,27.3,53.8,6.166666666666667,26.633333333333333,38.35,31.9,25.533333333333335,59.93333333333333,17.666666666666668,27.8,22.9,37.3,34.9,55.96666666666667,14.966666666666667,28.3,21.866666666666667,31.9,44.4
33,47.25,14.866666666666667,18.066666666666666,19.666666666666668,26.2,16.666666666666668,50.03333333333333,27.6,21.666666666666668,25.5,29.266666666666666,19.2,61.733333333333334,18.333333333333332,38.65,34.733333333333334,22.0,24.333333333333332,57.833333333333336,7.0,23.566666666666666,41.25,21.066666666666666,22.5,62.7,25.933333333333334,29.0,27.733333333333334,33.0,26.233333333333334,57.833333333333336,28.2,27.166666666666668,23.0,30.066666666666666,42.6
34,48.05,17.4,15.7,20.6,30.9,8.3,57.9,30.65,20.3,28.866666666666667,22.733333333333334,22.166666666666668,60.2,20.8,37.15,29.6,28.0,25.0,63.6,-0.4666666666666667,20.6,37.0,30.466666666666665,31.333333333333332,56.4,20.066666666666666,19.5,25.133333333333333,34.1,27.433333333333334,64.3,19.333333333333332,29.0,24.166666666666668,29.266666666666666,40.45
35,46.4,25.033333333333335,17.5,18.2,25.6,13.166666666666666,51.36666666666667,32.45,29.0,28.233333333333334,30.5,23.533333333333335,63.0,20.5,34.35,28.433333333333334,26.066666666666666,23.966666666666665,58.2,18.066666666666666,28.766666666666666,40.15,29.766666666666666,28.733333333333334,58.6,21.5,25.233333333333334,24.433333333333334,36.5,26.0,65.83333333333333,22.366666666666667,21.133333333333333,21.066666666666666,22.5,41.1
36,45.7,24.366666666666667,25.433333333333334,25.933333333333334,20.1,12.733333333333333,55.03333333333333,32.45,29.033333333333335,25.533333333333335,31.4,26.033333333333335,60.766666666666666,27.866666666666667,36.05,27.333333333333332,23.9,16.466666666666665,61.266666666666666,17.866666666666667,25.666666666666668,39.45,28.666666666666668,32.2,58.1,14.4,30.4,26.333333333333332,37.15,23.733333333333334,59.56666666666667,19.866666666666667,27.133333333333333,14.7,24.566666666666666,40.05
37,46.95,18.133333333333333,21.633333333333333,28.333333333333332,24.266666666666666,21.366666666666667,54.46666666666667,29.0,35.666666666666664,31.7,26.3,25.7,59.46666666666667,15.333333333333334,36.55,34.36666666666667,22.166666666666668,22.866666666666667,63.666666666666664,17.2,19.033333333333335,41.3,42.733333333333334,32.333333333333336,59.43333333333333,14.8,33.333333333333336,26.066666666666666,35.45,22.9,49.53333333333333,22.2,28.033333333333335,27.666666666666668,27.9,39.15
38,44.25,17.4,17.433333333333334,21.933333333333334,29.733333333333334,14.2,61.4,31.45,36.233333333333334,30.366666666666667,26.866666666666667,17.0,66.26666666666667,8.066666666666666,35.65,29.466666666666665,21.6,22.0,53.766666666666666,19.533333333333335,29.133333333333333,40.7,29.066666666666666,25.766666666666666,56.56666666666667,19.533333333333335,31.1,33.233333333333334,37.3,29.933333333333334,60.2,27.0,36.5,35.93333333333333,26.266666666666666,40.55
39,44.25,17.5,12.766666666666667,21.4,32.166666666666664,13.433333333333334,65.0,31.7,26.766666666666666,25.566666666666666,26.466666666666665,29.4,67.93333333333334,22.433333333333334,37.05,28.733333333333334,29.366666666666667,32.766666666666666,60.4,20.233333333333334,29.566666666666666,37.75,32.266666666666666,25.1,56.833333333333336,10.633333333333333,21.533333333333335,21.933333333333334,34.95,33.266666666666666,66.76666666666667,14.4,29.433333333333334,30.6,26.933333333333334,45.95
40,44.35,13.733333333333333,19.033333333333335,21.066666666666666,29.9,28.466666666666665,65.06666666666666,33.2,30.733333333333334,33.233333333333334,21.366666666666667,22.833333333333332,61.86666666666667,25.066666666666666,36.4,38.266666666666666,36.666666666666664,27.8,56.733333333333334,7.066666666666666,27.433333333333334,37.8,31.3,25.966666666666665,57.4,24.033333333333335,24.833333333333332,33.3,35.4,29.133333333333333,53.63333333333333,20.166666666666668,25.8,30.133333333333333,32.46666666666667,39.35
41,43.55,15.4,21.2,23.2,21.533333333333335,25.0,59.4,41.25,22.033333333333335,33.53333333333333,35.233333333333334,19.933333333333334,60.7,27.366666666666667,39.35,39.266666666666666,26.3,23.133333333333333,61.2,20.866666666666667,23.933333333333334,38.95,31.8,27.333333333333332,60.86666666666667,18.566666666666666,27.3,21.3,44.1,24.9,63.0,23.266666666666666,28.466666666666665,25.666666666666668,31.9,42.7
